,min,max,mean,area,AreaBelowMElev
0,1166.0,1499.0,1377.8936459998815,15223780.43133792,7008065.717360192
1,1500.0,1999.0,1780.6923275255106,90798450.46020898,58960183.40083216
2,2000.0,2499.0,2262.1197203525344,121031033.91888878,164978461.8573974
3,2500.0,2999.0,2764.749486360155,170397873.7767379,309238338.9054234
4,3000.0,3499.0,3291.1503108666834,319868803.7976534,542337764.9491863
5,3500.0,3999.0,3710.1130748759574,331662264.2538022,894754667.8853511
6,4000.0,4499.0,4176.638682117596,77653959.48331137,1093648853.033322
7,4500.0,4999.0,4629.184165405951,8924711.970709043,1131857912.325857
8,5003.0,5022.0,5014.363636363636,9621.907350551566,1135538022.35266
